Shipment_ID,Order_Date,Dispatch_Hour,Warehouse_ID,Region,Carrier_Type,Expected_Delivery_Hours
SHP200000,2024-06-24,14,WH_W1,West,Road,22.45861922872502
SHP200001,2024-01-26,11,WH_S1,East,Road,18.472729476434175
SHP200002,2024-03-08,6,WH_W2,South,Road,28.294598397377882
SHP200003,2024-05-31,21,WH_W1,West,Road,30.881315019844852
SHP200004,2024-04-13,23,WH_W2,North,Road,20.49579450686325
SHP200005,2024-04-02,14,WH_W1,South,Road,25.536477547346404
SHP200006,2024-05-22,18,WH_W1,East,Road,24.758548270698427
SHP200007,2024-01-24,12,WH_W1,North,Road,33.56355342655098
SHP200008,2024-03-13,8,WH_E1,North,Road,23.580051007618714
SHP200009,2024-03-30,12,WH_S1,North,Road,26.549934636234795
SHP200010,2024-04-20,15,WH_W1,North,Road,22.737171464971574
SHP200011,2024-02-12,15,WH_N2,North,Air,24.541204614938398
SHP200012,2024-05-16,9,WH_W1,West,Road,23.405284464831777
SHP200013,2024-06-16,11,WH_W1,North,Road,28.34554486977988
SHP200014,2024-03-09,20,WH_W2,East,Road,21.621906970663687
SHP200015,2024-06-25,0,WH_W1,North,Air,26.05770657104323
SHP200016,2024-05-07,4,WH_E1,South,Air,28.364665254339528
SHP200017,2024-05-15,13,WH_S1,West,Road,25.592424821111354
SHP200018,2024-06-21,7,WH_W1,East,Air,26.256631289819147
SHP200019,2024-01-01,3,WH_W2,East,Air,18.777183873561878
SHP200020,2024-03-16,7,WH_E1,West,Road,27.055571044671233
SHP200021,2024-02-25,16,WH_E1,West,Road,23.47994278843581
SHP200022,2024-01-07,1,WH_E1,West,Air,20.85485384367531
SHP200023,2024-01-20,3,WH_E1,South,Road,23.210742366116914
SHP200024,2024-02-14,20,WH_W2,South,Road,28.500836392572634
SHP200025,2024-03-10,13,WH_S1,South,Air,21.267350111002294
SHP200026,2024-02-26,10,WH_E1,West,Road,23.471283625545095
SHP200027,2024-06-01,21,WH_N2,North,Air,29.125499535002458
SHP200028,2024-04-22,7,WH_W2,East,Air,23.58582325075831
SHP200029,2024-02-04,15,WH_S1,West,Road,23.715515772710475
SHP200030,2024-02-26,9,WH_W2,West,Road,21.656428713013568
SHP200031,2024-02-08,3,WH_S1,West,Road,30.176532906503695
SHP200032,2024-01-05,0,WH_W1,South,Air,25.763428768840768
SHP200033,2024-05-17,5,WH_N2,North,Road,21.96101301572253
SHP200034,2024-03-28,17,WH_N2,East,Road,21.908020808220453
SHP200035,2024-03-13,16,WH_E1,West,Road,29.811097792517288
SHP200036,2024-03-24,11,WH_S1,North,Road,19.691005851352234
SHP200037,2024-06-25,21,WH_W2,North,Road,25.725604777674146
SHP200038,2024-01-02,22,WH_W1,South,Road,31.52750555366586
SHP200039,2024-05-24,0,WH_N1,North,Road,21.204815671352534
SHP200040,2024-04-28,10,WH_E1,East,Road,28.17263568280508
SHP200041,2024-06-08,22,WH_E1,East,Road,23.541866140484263
SHP200042,2024-04-03,15,WH_W1,West,Road,20.035870130138818
SHP200043,2024-06-21,15,WH_W1,North,Road,22.063755607285874
SHP200044,2024-04-02,22,WH_W1,South,Road,20.342072567367268
SHP200045,2024-03-12,21,WH_N1,West,Road,18.39258789934058
SHP200046,2024-01-24,19,WH_W1,West,Air,18.563846122316242
SHP200047,2024-01-11,1,WH_N2,East,Air,19.34342839980683
SHP200048,2024-02-05,13,WH_N1,West,Road,23.625701888778433
SHP200049,2024-03-02,4,WH_S1,North,Air,26.44576771799001
SHP200050,2024-05-15,19,WH_W1,South,Air,22.549288908003415
SHP200051,2024-05-31,4,WH_N2,West,Air,26.89929780571474
SHP200052,2024-04-02,14,WH_E1,East,Road,22.6398180439779
SHP200053,2024-05-29,5,WH_N1,West,Air,27.56669453505757
SHP200054,2024-04-10,11,WH_W2,East,Air,25.108219750134122
SHP200055,2024-06-12,13,WH_E1,North,Air,25.365373527109313
SHP200056,2024-03-08,14,WH_N1,North,Air,23.7695292435143
SHP200057,2024-05-03,2,WH_N2,West,Road,20.263320036328935
SHP200058,2024-01-20,0,WH_S1,South,Road,26.334816072575585
SHP200059,2024-06-04,7,WH_W2,East,Air,23.45121156097992
SHP200060,2024-01-05,17,WH_W1,West,Road,22.39568963503229
SHP200061,2024-01-20,10,WH_W2,West,Road,19.951978418920383
SHP200062,2024-02-03,21,WH_N2,East,Air,28.154416755748084
SHP200063,2024-05-03,12,WH_S1,East,Road,25.06988634454594
SHP200064,2024-01-31,12,WH_W2,West,Road,22.42805077334758
SHP200065,2024-03-14,13,WH_W2,South,Road,25.098158278203574
